complexity,loss,score,equation,sympy_format,lambda_format
1,125982760.0,0.0,-1.9644476,-1.96444760000000,PySRFunction(X=>-1.96444760000000)
3,1141740.5,2.351795609852696,-11174.767 - fp_650,-fp_650 - 11174.767,PySRFunction(X=>-fp_650 - 11174.767)
4,1141495.2,0.00021487050236981253,-11173.497 - exp(fp_650),-exp(fp_650) - 11173.497,PySRFunction(X=>-exp(fp_650) - 11173.497)
5,1016746.9,0.11573076511530901,(-732.93964 * fp_650) - 10903.342,-732.93964*fp_650 - 1*10903.342,PySRFunction(X=>-732.93964*fp_650 - 1*10903.342)
7,926630.4,0.04640435764610253,((fp_807 + fp_650) * -667.2129) - 10654.467,(fp_650 + fp_807)*(-667.2129) - 1*10654.467,PySRFunction(X=>(fp_650 + fp_807)*(-667.2129) - 1*10654.467)
9,794202.7,0.07710803111062453,(-788.5488 * ((fp_656 + fp_807) + fp_650)) - 10249.428,-788.5488*(fp_650 + fp_656 + fp_807) - 1*10249.428,PySRFunction(X=>-788.5488*(fp_650 + fp_656 + fp_807) - 1*10249.428)
11,741079.94,0.03461510880996331,((fp_650 + ((fp_378 + fp_807) + fp_656)) * -795.8733) - 10122.962,(fp_378 + fp_650 + fp_656 + fp_807)*(-795.8733) - 1*10122.962,PySRFunction(X=>(fp_378 + fp_650 + fp_656 + fp_807)*(-795.8733) - 1*10122.962)
12,738940.9,0.0028905559050941723,((((sin(fp_378) + fp_807) + fp_656) + fp_650) * -799.6146) - 10122.962,(fp_650 + fp_656 + fp_807 + sin(fp_378))*(-799.6146) - 1*10122.962,PySRFunction(X=>(fp_650 + fp_656 + fp_807 + sin(fp_378))*(-799.6146) - 1*10122.962)
13,696698.6,0.05886505225297222,((((fp_378 + fp_695) + (fp_650 + fp_807)) + fp_656) * -732.93964) - 10122.962,(fp_378 + fp_650 + fp_656 + fp_695 + fp_807)*(-732.93964) - 1*10122.962,PySRFunction(X=>(fp_378 + fp_650 + fp_656 + fp_695 + fp_807)*(-732.93964) - 1*10122.962)
14,692533.2,0.0059967134102550295,(((tanh(fp_695 + fp_378) + (fp_650 + fp_807)) + fp_656) * -788.5488) - 10122.962,(fp_650 + fp_656 + fp_807 + tanh(fp_378 + fp_695))*(-788.5488) - 1*10122.962,PySRFunction(X=>(fp_650 + fp_656 + fp_807 + tanh(fp_378 + fp_695))*(-788.5488) - 1*10122.962)
15,663051.9,0.04350291148548117,((((fp_378 + fp_695) + ((fp_1928 + fp_650) + fp_807)) + fp_656) * -732.93964) - 10122.962,(fp_1928 + fp_378 + fp_650 + fp_656 + fp_695 + fp_807)*(-732.93964) - 1*10122.962,PySRFunction(X=>(fp_1928 + fp_378 + fp_650 + fp_656 + fp_695 + fp_807)*(-732.93964) - 1*10122.962)
16,655841.94,0.010933452874888757,(((tanh(fp_695 + fp_378) + ((fp_1928 + fp_650) + fp_807)) + fp_656) * -788.5488) - 10122.962,(fp_1928 + fp_650 + fp_656 + fp_807 + tanh(fp_378 + fp_695))*(-788.5488) - 1*10122.962,PySRFunction(X=>(fp_1928 + fp_650 + fp_656 + fp_807 + tanh(fp_378 + fp_695))*(-788.5488) - 1*10122.962)
17,648824.7,0.01075724243004965,((((fp_378 + (fp_695 + fp_1453)) + ((fp_1928 + fp_650) + fp_807)) + fp_656) * -732.93964) - 10122.962,(fp_1453 + fp_1928 + fp_378 + fp_650 + fp_656 + fp_695 + fp_807)*(-732.93964) - 1*10122.962,PySRFunction(X=>(fp_1453 + fp_1928 + fp_378 + fp_650 + fp_656 + fp_695 + fp_807)*(-732.93964) - 1*10122.962)
18,641001.3,0.012131087360411956,(((tanh(fp_695 + fp_378) + (((fp_1928 + fp_650) + fp_1453) + fp_807)) + fp_656) * -788.5488) - 10122.962,(fp_1453 + fp_1928 + fp_650 + fp_656 + fp_807 + tanh(fp_378 + fp_695))*(-788.5488) - 1*10122.962,PySRFunction(X=>(fp_1453 + fp_1928 + fp_650 + fp_656 + fp_807 + tanh(fp_378 + fp_695))*(-788.5488) - 1*10122.962)
20,633309.5,0.006036120400173859,(((tanh((fp_695 + fp_378) + fp_1928) + (((fp_1928 + fp_650) + fp_1453) + fp_807)) + fp_656) * -788.5488) - 10122.962,(fp_1453 + fp_1928 + fp_650 + fp_656 + fp_807 + tanh(fp_1928 + fp_378 + fp_695))*(-788.5488) - 1*10122.962,PySRFunction(X=>(fp_1453 + fp_1928 + fp_650 + fp_656 + fp_807 + tanh(fp_1928 + fp_378 + fp_695))*(-788.5488) - 1*10122.962)
21,626173.3,0.011332074350896079,(813.5338 * ((-12.355157 - (((fp_807 + fp_650) + fp_656) + tanh(fp_378 + fp_695))) - (fp_1928 * exp(fp_1453)))) - -3.6636603,813.5338*(-fp_1928*exp(fp_1453) - (fp_650 + fp_656 + fp_807 + tanh(fp_378 + fp_695)) - 12.355157) - 1*(-3.6636603),PySRFunction(X=>813.5338*(-fp_1928*exp(fp_1453) - (fp_650 + fp_656 + fp_807 + tanh(fp_378 + fp_695)) - 12.355157) - 1*(-3.6636603))
22,621549.4,0.007411776939848428,(((tanh(fp_378 + fp_695) + (((fp_1928 * (1.532446 + (fp_1453 * 2.4430797))) + fp_650) + fp_807)) + fp_656) * -788.5488) - 10122.962,(fp_1928*(fp_1453*2.4430797 + 1.532446) + fp_650 + fp_656 + fp_807 + tanh(fp_378 + fp_695))*(-788.5488) - 1*10122.962,PySRFunction(X=>(fp_1928*(fp_1453*2.4430797 + 1.532446) + fp_650 + fp_656 + fp_807 + tanh(fp_378 + fp_695))*(-788.5488) - 1*10122.962)
23,613922.6,0.01234653133948115,(813.5338 * ((-12.355157 - (((fp_807 + fp_650) + fp_656) + tanh(fp_378 + fp_695))) - ((fp_1928 * exp(fp_1453)) / 0.5937476))) + 3.5474634,813.5338*(-fp_1928*exp(fp_1453)/0.5937476 - (fp_650 + fp_656 + fp_807 + tanh(fp_378 + fp_695)) - 12.355157) + 3.5474634,PySRFunction(X=>813.5338*(-fp_1928*exp(fp_1453)/0.5937476 - (fp_650 + fp_656 + fp_807 + tanh(fp_378 + fp_695)) - 12.355157) + 3.5474634)
24,613124.06,0.001301564380170886,(813.5338 * ((-12.355157 - (((fp_807 + fp_650) + fp_656) + tanh(fp_378 + fp_695))) - ((fp_1928 * exp(fp_1453)) / 0.5845145))) + exp(3.5474634),813.5338*(-fp_1928*exp(fp_1453)/0.5845145 - (fp_650 + fp_656 + fp_807 + tanh(fp_378 + fp_695)) - 12.355157) + exp(3.5474634),PySRFunction(X=>813.5338*(-fp_1928*exp(fp_1453)/0.5845145 - (fp_650 + fp_656 + fp_807 + tanh(fp_378 + fp_695)) - 12.355157) + exp(3.5474634))
25,606454.7,0.010937262443522609,(813.5338 * ((-12.355157 - (((fp_807 + fp_650) + fp_656) + tanh(fp_378 + (fp_695 + fp_577)))) - ((fp_1928 * exp(fp_1453)) / 0.5937476))) + 3.5474634,813.5338*(-fp_1928*exp(fp_1453)/0.5937476 - (fp_650 + fp_656 + fp_807 + tanh(fp_378 + fp_577 + fp_695)) - 12.355157) + 3.5474634,PySRFunction(X=>813.5338*(-fp_1928*exp(fp_1453)/0.5937476 - (fp_650 + fp_656 + fp_807 + tanh(fp_378 + fp_577 + fp_695)) - 12.355157) + 3.5474634)
26,603979.2,0.004090274489717882,(813.5338 * ((-12.355157 - (((fp_807 + fp_650) + fp_656) + tanh(fp_378 + (fp_695 + fp_577)))) - ((fp_1928 * exp(fp_1453)) / 0.5937476))) + exp(3.5474634),813.5338*(-fp_1928*exp(fp_1453)/0.5937476 - (fp_650 + fp_656 + fp_807 + tanh(fp_378 + fp_577 + fp_695)) - 12.355157) + exp(3.5474634),PySRFunction(X=>813.5338*(-fp_1928*exp(fp_1453)/0.5937476 - (fp_650 + fp_656 + fp_807 + tanh(fp_378 + fp_577 + fp_695)) - 12.355157) + exp(3.5474634))
27,603281.4,0.0011560057169241699,(813.5338 * ((-12.355157 - (((fp_807 + fp_650) + fp_656) + tanh((fp_378 + (fp_695 + fp_577)) - 0.05053744))) - ((fp_1928 * exp(fp_1453)) / 0.5937476))) + 3.5474634,813.5338*(-fp_1928*exp(fp_1453)/0.5937476 - (fp_650 + fp_656 + fp_807 + tanh(fp_378 + fp_577 + fp_695 - 1*0.05053744)) - 12.355157) + 3.5474634,PySRFunction(X=>813.5338*(-fp_1928*exp(fp_1453)/0.5937476 - (fp_650 + fp_656 + fp_807 + tanh(fp_378 + fp_577 + fp_695 - 1*0.05053744)) - 12.355157) + 3.5474634)
28,599407.8,0.0064415867279205,(((-12.355157 - (((fp_807 + fp_650) + fp_656) + tanh(fp_378 + (fp_695 + tanh(fp_577 - fp_974))))) - ((fp_1928 * exp(fp_1453)) / 0.5937476)) * 813.5338) + fp_1057,fp_1057 + (-fp_1928*exp(fp_1453)/0.5937476 - (fp_650 + fp_656 + fp_807 + tanh(fp_378 + fp_695 + tanh(fp_577 - fp_974))) - 12.355157)*813.5338,PySRFunction(X=>fp_1057 + (-fp_1928*exp(fp_1453)/0.5937476 - (fp_650 + fp_656 + fp_807 + tanh(fp_378 + fp_695 + tanh(fp_577 - fp_974))) - 12.355157)*813.5338)
29,597026.44,0.003980767291791995,(813.5338 * ((-12.355157 - (((fp_807 + fp_650) + fp_656) + tanh(fp_378 + (fp_695 + tanh(fp_577 - tanh(fp_974)))))) - ((fp_1928 * exp(fp_1453)) / 0.6018773))) + fp_926,fp_926 + 813.5338*(-fp_1928*exp(fp_1453)/0.6018773 - (fp_650 + fp_656 + fp_807 + tanh(fp_378 + fp_695 + tanh(fp_577 - tanh(fp_974)))) - 12.355157),PySRFunction(X=>fp_926 + 813.5338*(-fp_1928*exp(fp_1453)/0.6018773 - (fp_650 + fp_656 + fp_807 + tanh(fp_378 + fp_695 + tanh(fp_577 - tanh(fp_974)))) - 12.355157))
30,595558.8,0.00246127604413197,(813.5338 * ((-12.355157 - (((fp_807 + fp_650) + fp_656) + tanh(fp_378 + (fp_695 + tanh((fp_577 - fp_974) + fp_1171))))) - ((fp_1928 * exp(fp_1453)) / 0.5937476))) + 3.5474634,813.5338*(-fp_1928*exp(fp_1453)/0.5937476 - (fp_650 + fp_656 + fp_807 + tanh(fp_378 + fp_695 + tanh(fp_1171 + fp_577 - fp_974))) - 12.355157) + 3.5474634,PySRFunction(X=>813.5338*(-fp_1928*exp(fp_1453)/0.5937476 - (fp_650 + fp_656 + fp_807 + tanh(fp_378 + fp_695 + tanh(fp_1171 + fp_577 - fp_974))) - 12.355157) + 3.5474634)
